F_0_26;F_0_52;Fe1_Nietlaenge;Fe4_Vorspannkraft;Fe7_Gesamtlaenge;Fe8_Niethaerte;Winkel_0;Winkel_90;Winkel_180;Winkel_270;Kippkanten0_180;Kippkanten 90- 270;mean Kippkante;Variante
456;587;16,42;1,94;14,16;6,1;1,53;1,02;1,15;1,31;6,36;6,34;6,35;Standard
498;631;16,39;1,93;14,14;2,76;1,34;1,3;1,51;0,89;6,33;6,37;6,35;Standard
485;617;16,4;1,93;14,15;3,51;1,36;1,39;1,79;1,13;6,3;6,36;6,33;Standard
501;638;16,39;1,92;14,13;2,31;1,11;1,31;1,37;1,45;6,34;6,34;6,34;Standard
438;566;16,42;1,9;14,18;6,46;1,77;1,8;1,3;1,66;6,31;6,3;6,3;Standard
465;596;16,44;1,9;14,17;6,11;1,45;1,03;1,33;1,44;6,3;6,31;6,3;Standard
481;614;16,49;1,9;14,15;6,05;1,56;1,62;1,13;1,49;6,33;6,31;6,32;Standard
499;634;16,39;1,89;14,11;2,07;1,22;1,37;0,77;1,66;6,34;6,31;6,33;Standard
497;629;16,42;1,88;14,15;6,04;1,45;1,37;1,12;1,25;6,33;6,32;6,32;Standard
480;611;16,46;1,91;14,16;6,24;1,61;0,99;1,14;1,18;6,32;6,3;6,31;Standard
499;634;16,39;1,91;14,15;2,29;0,34;1,04;1,49;1,56;6,32;6,3;6,31;Standard
455;587;16,49;1,89;14,17;6,18;1,99;1,31;0,92;1,21;6,59;6,29;6,44;Standard
459;589;16,44;1,88;14,13;6,12;1,88;1,26;1,01;1,52;6,34;6,28;6,31;Standard
484;616;16,44;1,91;14,18;6,29;1,35;1,37;1,11;1,17;6,26;6,31;6,28;Standard
466;595;16,42;1,89;14,17;6,4;1,11;1,22;1,14;1,86;6,3;6,31;6,3;Standard
503;634;16,42;1,87;14,1;6,22;1,19;1,36;1,18;1,25;6,31;6,29;6,3;Standard
484;616;16,42;1,87;14,14;6,25;1,39;1,37;1,44;1,2;6,26;6,3;6,28;Standard
